title,Link,is_phone,company,model,storage,name
Apple iPhone 6+ 16 gb (Global/Sprint/A1524),https://chicago.craigslist.org/chc/mob/d/apple-iphone-6-16-gb-global/6754128134.html,1,apple,iphone 6 plus,16gb,Vivek
"Wheel Alignment $50, Used Tires $35, Brakes from $89 !!",https://chicago.craigslist.org/wcl/mob/d/wheel-alignment-50-used-tires/6764402948.html,0,,,,Vivek
Red (Product) iPhone 8 Plus,https://chicago.craigslist.org/chc/mob/d/red-product-iphone-8-plus/6764408141.html,1,apple,iphone 8 plus,,Vivek
Bose Blue tooth headset,https://chicago.craigslist.org/chc/mob/d/bose-blue-tooth-headset/6754446600.html,0,,,,Vivek
"iPhone 6S, 64 GB, T Mobile, Like New!",https://chicago.craigslist.org/chc/mob/d/iphone-6s-64-gb-mobile-like/6761201009.html,1,apple,iphone 6s,64gb,Vivek
Pixel 2 XL 128gb unlocked,https://chicago.craigslist.org/chc/mob/d/pixel-2-xl-128gb-unlocked/6764405167.html,1,google,pixel 2 xl,128gb,Vivek
Unlocked Apple iPhone 8 Plus 256GB SILVER - with warranty to Feb. 2019,https://chicago.craigslist.org/nwi/mob/d/unlocked-apple-iphone-8-plus/6762667611.html,1,apple,iphone 8 plus,256gb,Vivek
Apple iPhone 8 Plus 256GB SILVER - Full WARRANTY to Feb 2019,https://chicago.craigslist.org/nwi/mob/d/apple-iphone-8-plus-256gb/6749838429.html,1,apple,iphone 8 plus,256gb,Vivek
IB*u*y Used iPhones,https://chicago.craigslist.org/wcl/mob/d/ibuy-used-iphones/6759051069.html,0,,,,Vivek
iPhone 4s 16gb. Mint.,https://chicago.craigslist.org/wcl/mob/d/iphone-4s-16gb-mint/6764384748.html,1,apple,iphone 4s,16gb,Vivek
T-Mobile iPhone X space grey 64g,https://chicago.craigslist.org/chc/mob/d/mobile-iphone-space-grey-64g/6764384534.html,1,apple,iphone x,64gb,Vivek
HTC Inspire phones,https://chicago.craigslist.org/sox/mob/d/htc-inspire-phones/6764359264.html,1,htc,inspire,,Vivek
OBO Samsung Galaxy S8+ PLUS BLACK Tmobile New OBO**,https://chicago.craigslist.org/chc/mob/d/obo-samsung-galaxy-s8-plus/6764381624.html,1,samsung,galaxy s8 plus,,Vivek
CELL PHONE LOT OF 63 PHONES AND ACCESSORIES,https://chicago.craigslist.org/sox/mob/d/cell-phone-lot-of-63-phones/6761155187.html,0,,,,Vivek
Samsung Galaxy Note 8 and all the accessories you will ever need,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-note-8-and-all/6758901426.html,1,samsung,galaxy note 8,,Vivek
Pixel 2XL,https://chicago.craigslist.org/nwc/mob/d/pixel-2xl/6764354107.html,1,google,pixel 2 xl,,Vivek
New and unopened Galaxy Note 9,https://chicago.craigslist.org/nwi/mob/d/new-and-unopened-galaxy-note-9/6764353089.html,1,samsung,galaxy note 9,,Vivek
Apple Watch series 1,https://chicago.craigslist.org/chc/mob/d/apple-watch-series-1/6764348155.html,0,,,,Vivek
Plantronics M70 BLUETOOTH,https://chicago.craigslist.org/chc/mob/d/plantronics-m70-bluetooth/6750301615.html,0,,,,Vivek
Apple iPhone 5 32g Black & Slate AT&T,https://chicago.craigslist.org/chc/mob/d/apple-iphone-5-32g-black/6742631317.html,1,apple,iphone 5,32gb,Vivek
Samsung Note 4 AT&T. Unlocked,https://chicago.craigslist.org/chc/mob/d/samsung-note-4-att-unlocked/6756825456.html,1,samsung,galaxy note 4,,Vivek
S9 Unlock New Andriod China phone,https://chicago.craigslist.org/chc/mob/d/s9-unlock-new-andriod-china/6762271538.html,1,samsung,galaxy s9,,Vivek
ATT ZTE MAYVEN $10 (CRACK SCREE )@@@@@@~~~@@@@@@@@@@@@@@@@@@@@@@@@@@@@,https://chicago.craigslist.org/chc/mob/d/att-zte-mayven-10-crack-scree/6764338867.html,1,zte,maven,,Vivek
iPhone 6 lime green case cover,https://chicago.craigslist.org/wcl/mob/d/iphone-6-lime-green-case-cover/6745781303.html,0,,,,Vivek
ATT ZTE MAYVEN $20 @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@,https://chicago.craigslist.org/chc/mob/d/att-zte-mayven-20/6764334865.html,1,zte,maven,,Vivek
CHEAP ATT EXCELLENT CONDITION PHONE,https://chicago.craigslist.org/nch/mob/d/cheap-att-excellent-condition/6762684681.html,0,,,,Vivek
Att ZTE MAYVEN Z812 & IPHONE 6@@@@@@@@@@@@@@@@@@@@@@@@@,https://chicago.craigslist.org/chc/mob/d/att-zte-mayven-z812-iphone-6/6757535020.html,0,,,,Vivek
IPHONE 6 STUCK ITUNES $50@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@,https://chicago.craigslist.org/chc/mob/d/iphone-6-stuck-itunes-50/6762691771.html,1,apple,iphone 6,,Vivek
Galaxy S6 | Verizon | Mint . 3 FOR SALE,https://chicago.craigslist.org/chc/mob/d/galaxy-s6-verizon-mint-3-for/6764329632.html,1,samsung,galaxy s6,,Vivek
"IPhone 6S, ATT, Rose Gold, 16GB",https://chicago.craigslist.org/chc/mob/d/iphone-6s-att-rose-gold-16gb/6764332459.html,1,apple,iphone 6s,16gb,Vivek
LG Volt 2 cell phone,https://chicago.craigslist.org/nwi/mob/d/lg-volt-2-cell-phone/6764331870.html,1,lg,volt 2,,Vivek
Apple iPhone 7 Rose Gold,https://chicago.craigslist.org/nwc/mob/d/apple-iphone-7-rose-gold/6760320489.html,1,apple,iphone 7,,Vivek
Apple iPhone 7 Silver,https://chicago.craigslist.org/nwc/mob/d/apple-iphone-7-silver/6760320386.html,1,apple,iphone 7,,Vivek
Apple iPhone 7 Black,https://chicago.craigslist.org/nwc/mob/d/apple-iphone-7-black/6760320304.html,1,apple,iphone 7,,Vivek
Apple iPhone 7 Gold,https://chicago.craigslist.org/nwc/mob/d/apple-iphone-7-gold/6760320452.html,1,apple,iphone 7,,Vivek
iPhone X - AT&T Excellent Condition-6 months Warranty Apple,https://chicago.craigslist.org/chc/mob/d/iphone-att-excellent/6764309414.html,1,apple,iphone x,,Vivek
PELICAN PROGEAR VOYAGER iPHONE CASE + Kickstand White/Gray,https://chicago.craigslist.org/nch/mob/d/pelican-progear-voyager/6745409124.html,0,,,,Vivek
Motorola Boostmobile Cell Phone,https://chicago.craigslist.org/nwi/mob/d/motorola-boostmobile-cell/6764320446.html,1,motorola,,,Vivek
Iphone xs,https://chicago.craigslist.org/chc/mob/d/iphone-xs/6760253716.html,1,apple,iphone xs,,Vivek
Jabra Sp5050 Bt Speakerphone,https://chicago.craigslist.org/nwi/mob/d/jabra-sp5050-bt-speakerphone/6764319363.html,0,,,,Vivek
Iphone xs,https://chicago.craigslist.org/chc/mob/d/iphone-xs/6761461107.html,1,apple,iphone xs,,Vivek
Lg stylo 4 for boost mobile new con:,https://chicago.craigslist.org/nch/mob/d/lg-stylo-4-for-boost-mobile/6762513022.html,1,lg,stylo 4,,Vivek
Skiva - Protective Case and Extended Battery for iPhone 4 4S,https://chicago.craigslist.org/nwc/mob/d/skiva-protective-case-and/6755410322.html,0,,,,Vivek
"iPhone 7 Plus case, iPhone 8 Plus case, Arae PU Leather Wallet Case wi",https://chicago.craigslist.org/nwc/mob/d/iphone-7-plus-case-iphone-8/6756908920.html,0,,,,Vivek
BRAND NEW - MAGPUL Samsung Galaxy S5 FIELD CASE Black MAG476-BLK ~ New,https://chicago.craigslist.org/wcl/mob/d/brand-new-magpul-samsung/6756864167.html,0,,,,Vivek
iPhone XR - 64GB - White - Verizon Unlocked - New w/Box and Acc,https://chicago.craigslist.org/sox/mob/d/iphone-xr-64gb-white-verizon/6764294781.html,1,apple,iphone xr,64gb,Vivek
Unlocked iPhone 7 Plus 256GB Space Gray MINT,https://chicago.craigslist.org/wcl/mob/d/unlocked-iphone-7-plus-256gb/6759619467.html,1,apple,iphone 7 plus,256gb,Vivek
iPhone 7 Unlocked GSM,https://chicago.craigslist.org/chc/mob/d/iphone-7-unlocked-gsm/6764283685.html,1,apple,iphone 7,,Vivek
iPhone 7 256gb iCloud locked,https://chicago.craigslist.org/chc/mob/d/iphone-7-256gb-icloud-locked/6764282330.html,1,apple,iphone 7,256gb,Vivek
"iphone 3gs ,16 gb,GSM ,unlocked",https://chicago.craigslist.org/chc/mob/d/iphone-3gs-16-gbgsm-unlocked/6758516140.html,1,apple,iphone 3gs,16gb,Vivek
LG V30 T-MOBILE,https://chicago.craigslist.org/chc/mob/d/lg-v30-mobile/6741809524.html,1,lg,v30,,Vivek
iPhone 6s rose gold 16gb Unlocked,https://chicago.craigslist.org/chc/mob/d/iphone-6s-rose-gold-16gb/6741812358.html,1,apple,iphone 6s,16gb,Vivek
Apple iPhone 7 Plus 32GB Unlocked -Fully Functional!!!!,https://chicago.craigslist.org/nwc/mob/d/apple-iphone-7-plus-32gb/6753796302.html,1,apple,iphone 7 plus,32gb,Vivek
iPhone 6s Plus 64GB,https://chicago.craigslist.org/nwc/mob/d/iphone-6s-plus-64gb/6764269153.html,1,apple,iphone 6s,64gb,Vivek
Unlocked Iphone Xs Max,https://chicago.craigslist.org/nwi/mob/d/unlocked-iphone-xs-max/6764243567.html,1,apple,iphone xs max,,Vivek
**** LG K20 Plus *** SMART **** Cell Phone ** T-Mobile ** FREE VR ****,https://chicago.craigslist.org/nch/mob/d/lg-k20-plus-smart-cell-phone/6755363130.html,1,lg,k20 plus,,Vivek
Nokia 6310i Mobile Phone - Silver,https://chicago.craigslist.org/chc/mob/d/nokia-6310i-mobile-phone/6764249714.html,1,nokia,6310i,,Vivek
BlackBerry Curve 8900 Javelin,https://chicago.craigslist.org/chc/mob/d/blackberry-curve-8900-javelin/6759083954.html,1,blackberry,curve 8900 javelin,,Vivek
iPhone 6 + 6s Case Perfect Armor,https://chicago.craigslist.org/chc/mob/d/iphone-6-6s-case-perfect-armor/6759060373.html,0,,,,Vivek
SPECIAL EDITION EMERALD GREEN MINT SAMSUNG GALAXY S6 EDGE GSM UNLOCKED,https://chicago.craigslist.org/nwc/mob/d/special-edition-emerald-green/6761790021.html,1,samsung,galaxy s6,,Vivek
New iPhone 8 Plus 64GB UNLOCKED for any carrier!,https://chicago.craigslist.org/nwc/mob/d/new-iphone-8-plus-64gb/6761106458.html,1,apple,iphone 8 plus,64gb,Vivek
New iPhone 8 Plus 64GB UNLOCKED for any carrier!,https://chicago.craigslist.org/nwc/mob/d/new-iphone-8-plus-64gb/6758775608.html,1,apple,iphone 8 plus,64gb,Vivek
Apple 🍎 IPhone 8 Plus 64GB New with new accessories! ! Unlocked ! On App,https://chicago.craigslist.org/nwc/mob/d/apple-iphone-8-plus-64gb-new/6761750960.html,1,apple,iphone 8 plus,64gb,Vivek
Apple 🍎 IPhone 8 Plus 64GB New Condition with new accessories!,https://chicago.craigslist.org/nwc/mob/d/apple-iphone-8-plus-64gb-new/6761753589.html,1,apple,iphone 8 plus,64gb,Vivek
Apple 🍎 IPhone 8 Plus 64GB New Condition with new accessories! Brand New,https://chicago.craigslist.org/nwc/mob/d/apple-iphone-8-plus-64gb-new/6761748395.html,1,apple,iphone 8 plus,64gb,Vivek
The new iPad 32Gb Wi-Fi,https://chicago.craigslist.org/nch/mob/d/the-new-ipad-32gb-wi-fi/6758482278.html,0,,,,Vivek
Samsung Frontier S3 Smartwatch,https://chicago.craigslist.org/chc/mob/d/samsung-frontier-s3-smartwatch/6764238741.html,0,,,,Vivek
NEW UNLOCKED SAMSUNG GALAXY NOTE 8,https://chicago.craigslist.org/chc/mob/d/new-unlocked-samsung-galaxy/6764231175.html,1,samsung,galaxy note 8,,Vivek
2 CONSUMER CELLULAR PHONES,https://chicago.craigslist.org/sox/mob/d/2-consumer-cellular-phones/6754466614.html,0,,,,Vivek
Note 9 512 GB NEW IN BOX,https://chicago.craigslist.org/chc/mob/d/notegb-new-in-box/6759153117.html,1,samsung,galaxy note 9,512gb,Vivek
